IncidentAngle(deg),Intensity(a.u.),Sigma_I(a.u.)
0.165169,925417.225,961.986084
0.166969,933401.809,966.127222
0.169069,940694.098,969.893859
0.171169,950371.805,974.870148
0.172969,955906.222,977.704568
0.175069,962878.478,981.263715
0.177169,971825.219,985.811959
0.178969,974377.899,987.105819
0.181069,979790.797,989.843824
0.183169,981993.643,990.955924
0.184969,986134.85,993.043226
0.187069,983303.562,991.616641
0.189169,983352.222,991.641176
0.190969,977001.249,988.433735
0.193069,968934.018,984.344461
0.195169,955140.92,977.313112
0.196969,942415.898,970.781076
0.199069,918710.708,958.493979
0.201169,889290.185,943.021837
0.202969,859504.861,927.09485
0.205069,809280.898,899.60041
0.207169,758351.957,870.834058
0.208969,700626.291,837.034223
0.211069,634564.566,796.59561
0.213169,570118.989,755.062242
0.214969,502549.738,708.907425
0.217069,435810.488,660.159441
0.219169,363935.363,603.270555
0.220969,312715.916,559.210082
0.223069,258623.598,508.550487
0.225169,203803.325,451.445817
0.226969,170188.28,412.538822
0.229069,131000.408,361.939786
0.231169,104925.736,323.922423
0.232969,85752.8356,292.835851
0.235069,67881.0098,260.539843
0.237169,56480.3607,237.655971
0.238969,49265.5572,221.958458
0.241069,43672.6906,208.98012
0.243169,40290.1852,200.724152
0.244969,38422.4506,196.016455
0.247069,37185.5327,192.835507
0.249169,36633.9136,191.399879
0.250969,36612.7102,191.344481
0.253069,36789.6169,191.806196
0.255169,37315.7281,193.172793
0.256969,37794.6036,194.408342
0.259069,37913.7933,194.714646
0.261169,38020.1266,194.987504
0.262969,38902.2547,197.236545
0.265069,38909.7351,197.255507
0.267169,39493.0559,198.728599
0.268969,39411.3643,198.522957
0.271068,39659.2087,199.146199
0.273168,40126.2003,200.315252
0.274968,39506.6784,198.76287
0.277068,39925.0367,199.812504
0.279168,40109.2089,200.272836
0.280968,39714.8496,199.285849
0.283068,39493.1686,198.728882
0.285168,39082.6414,197.693301
0.286968,39160.5329,197.890204
0.289068,38681.0515,196.67499
0.291168,38263.6066,195.610855
0.292968,38130.0069,195.269063
0.295068,37498.9133,193.646361
0.297168,37222.8863,192.932336
0.298968,36452.5793,190.925586
0.301068,36112.0784,190.031783
0.303168,35406.92,188.167266
0.304968,34848.3976,186.677255
0.307068,34038.632,184.495615
0.309168,33635.5803,183.400055
0.310968,33278.4831,182.42391
0.313068,32551.7622,180.421069
0.315168,31498.7889,177.478982
0.316968,31130.676,176.438873
0.337561,18667.109,136.627629
0.357661,12238.8117,110.629163
0.377461,7342.55456,85.6887073
0.397561,3806.95742,61.7005464
0.417661,1805.38133,42.4897791
0.457561,696.309456,26.3876762
0.517561,1570.87936,39.6343205
0.557461,1733.36066,41.6336482
0.577561,1640.89162,40.5079205
0.617461,1050.89568,32.4175211
0.637561,722.341981,26.8764205
0.657661,448.728345,21.183209
0.677461,310.604245,17.6239679
0.697561,186.737327,13.6651867
0.717661,104.793795,10.2368841
0.737461,105.892569,10.2904115
0.757561,114.798679,10.7144146
0.81756,196.728953,14.0260099
0.83766,202.790205,14.2404426
0.85746,173.694824,13.1793332
0.87756,131.577942,11.4707429
0.89766,117.294424,10.830255
0.93756,76.7316773,8.75966194
0.95766,40.8936459,6.39481399
0.97746,33.9414068,5.82592541
0.99756,18.0034089,4.24304241
1.09746,29.0671477,5.39139571
1.13766,43.0397964,6.56047227
1.15746,28.0761616,5.29869433
1.17756,26.9701791,5.19328212
1.21746,9.99269295,3.1611221
1.23756,8.00385344,2.82910824
1.27746,5.02203977,2.2409908
1.31766,2.99998564,1.73204666
1.33746,3.99476999,1.99869207
1.35756,5.0157814,2.23959403
1.37766,4.02144414,2.00535387
1.39746,2.98569256,1.72791567
1.43766,5.03249061,2.24332133
1.49766,1.99448198,1.4122613
1.51746,2.00449538,1.41580203
1.57746,0.9949494,0.997471504
1.63746,2.01848471,1.42073386
1.71756,2.00506383,1.41600277
1.79766,1.01487052,1.00740782
1.87746,0.995671511,0.997833408
1.93746,0.99569279,0.997844071
