r_ZnPc_0_00000_90_10,q_ZnPc_0_00000_90_10,r_ZnPc_0_00000_170_10,q_ZnPc_0_00000_170_10
1.6597464e+08,0.031915523,95643.359,0.05385977
3044829.8,0.053192537,43362.68,0.069248281
554125.56,0.074469551,8824.4443,0.084636785
37909.727,0.095746562,60.830162,0.10002529
3813.9419,0.11702358,21.061689,0.1154138
616.66022,0.1383006,14.99388,0.1308023
282.15558,0.15957761,12.669406,0.14619081
157.12273,0.18085462,9.965826,0.16157931
96.836586,0.20213164,7.6007943,0.17696781
65.659691,0.22340865,6.6442442,0.19235633
45.667717,0.24468566,6.4793396,0.20774484
32.710133,0.26596269,6.012979,0.22313334
23.975636,0.2872397,5.3495455,0.23852184
18.88773,0.30851671,4.974669,0.25391036
15.933261,0.32979372,4.9072304,0.26929885
16.618034,0.35107073,4.7943864,0.28468737
19.512825,0.37234774,4.4923697,0.30007586
27.34753,0.39362475,5.4081507,0.31546438
47.244595,0.41490179,5.3852129,0.3308529
109.02341,0.4361788,6.2875667,0.34624138
414.08859,0.45745581,6.8906183,0.3616299
1189.8971,0.47873282,7.1561189,0.37701839
1656.483,0.50000983,8.746954,0.39240691
1155.161,0.52128685,11.434215,0.40779543
397.70844,0.54256386,15.27359,0.42318392
95.497314,0.56384087,22.291756,0.43857244
35.419521,0.58511788,33.648083,0.45396093
17.934912,0.60639489,47.139721,0.46934944
11.384433,0.6276719,76.091408,0.48473793
8.1863422,0.64894897,95.37941,0.50012648
6.2695146,0.67022598,87.445061,0.51551497
4.8707399,0.69150299,71.478378,0.53090346
4.4812365,0.71278,44.298683,0.54629195
4.023222,0.73405701,24.388432,0.5616805
3.8281343,0.75533402,15.228371,0.57706898
3.3455184,0.77661103,10.662118,0.59245747
2.9882205,0.79788804,8.2731829,0.60784602
2.8246191,0.81916505,6.6233234,0.62323451
2.8148389,0.84044206,5.3831229,0.638623
2.9635506,0.86171907,4.7937903,0.65401149
3.0123744,0.88299608,4.3890548,0.66940004
3.3745203,0.90427309,3.8125727,0.68478853
4.3342199,0.9255501,3.5783854,0.70017701
5.823246,0.94682711,3.4071012,0.71556556
7.4296026,0.96810418,3.0820677,0.73095405
